Date,MSFT
2026-01-20,453.48492431640625
2026-01-21,443.0986328125
2026-01-22,450.1126403808594
2026-01-23,464.888916015625
2026-01-26,469.20904541015625
2026-01-27,479.485595703125
2026-01-28,480.533203125
2026-01-29,432.5128173828125
2026-01-30,429.31011962890625
2026-02-02,422.4058837890625
2026-02-03,410.2735595703125
2026-02-04,413.2467956542969
2026-02-05,392.7735290527344
2026-02-06,400.22650146484375
2026-02-09,412.65814208984375
2026-02-10,412.328857421875
2026-02-11,403.4491271972656
2026-02-12,400.9248962402344
2026-02-13,400.4060974121094
2026-02-17,395.95623779296875
2026-02-18,398.69000244140625
2026-02-19,398.4599914550781
2026-02-20,397.2300109863281
2026-02-23,384.4700012207031
2026-02-24,389.0
2026-02-25,400.6000061035156
2026-02-26,401.7200012207031
2026-02-27,392.739990234375
2026-03-02,398.54998779296875
2026-03-03,403.92999267578125
2026-03-04,405.20001220703125
2026-03-05,410.67999267578125
2026-03-06,408.9599914550781
2026-03-09,409.4100036621094
2026-03-10,405.760009765625
2026-03-11,404.8800048828125
2026-03-12,401.8599853515625
2026-03-13,395.54998779296875
2026-03-16,399.95001220703125
2026-03-17,399.4100036621094
2026-03-18,391.7900085449219
2026-03-19,389.0199890136719
2026-03-20,381.8699951171875
2026-03-23,383.0
2026-03-24,372.739990234375
2026-03-25,371.0400085449219
2026-03-26,365.9700012207031
2026-03-27,356.7699890136719
2026-03-30,358.9599914550781
2026-03-31,370.1700134277344
2026-04-01,369.3699951171875
2026-04-02,373.4599914550781
2026-04-06,372.8800048828125
2026-04-07,372.2900085449219
2026-04-08,374.3299865722656
2026-04-09,373.07000732421875
2026-04-10,370.8699951171875
2026-04-13,384.3699951171875
2026-04-14,393.1099853515625
2026-04-15,411.2200012207031
2026-04-16,420.260009765625
2026-04-17,422.7900085449219
